"year","state","state_abv","state_party_control","...1","democrat_county_vote","republican_county_vote","other_county_vote","county_totalvotes","state_totalvotes","vep","vap","statecrime.population","statecrime.rates.property.all","statecrime.rates.property.burglary","statecrime.rates.property.larceny","statecrime.rates.property.motor","statecrime.rates.violent.all","statecrime.rates.violent.assault","statecrime.rates.violent.murder","statecrime.rates.violent.rape","statecrime.rates.violent.robbery","statecrime.totals.property.all","statecrime.totals.property.burglary","statecrime.totals.property.larceny","statecrime.totals.property.motor","statecrime.totals.violent.all","statecrime.totals.violent.assault","statecrime.totals.violent.murder","statecrime.totals.violent.rape","statecrime.totals.violent.robbery"
2004,"Missouri","MO","Split",545954,1259171,1455713,16480,2731364,316838224,485097384,503372024,668105712,452411.599999999,81513.1999999998,318756.4,52153.5999999999,56851.5999999999,39799.5999999999,707.600000000002,2981.2,13351.6,26056964,4694752,18358624,3003588,3274216,2292508,41064,171564,769080
2004,"Montana","MT","NA",268380,173710,266063,10661,450434,25224304,39252584,39864048,51907520,164421.6,21235.2,133408.8,9777.60000000001,16452.8,13210.4,179.2,1652,1405.6,1524040,196840,1236592,90608,152488,122472,1680,15288,13048
2004,"Nebraska","NE","Uncertain",452631,254328,512814,11044,778186,72371298,115261317,121404990,162536472,327322.8,52284.5999999999,246905.7,28132.5,28699.8,19130.1,213.9,3301.5,6054.30000000001,5720616,913818,4315107,491691,501549,334335,3720,57660,105834
2004,"Nevada","NV","Split",83674,397190,418690,13707,829587,14102979,25866537,30208354,39659266,71570,16864,38212.6,16495.1,10478.8,6082.6,125.8,695.3,3575.1,1669655,393414,891446,384795,244443,141916,2924,16218,83385
2004,"New hampshire","NH","Split",49355,340511,331237,5914,677662,6776620,9504790,9844220,12991690,20519,3832,15181,1506,1695,938,13,359,385,266580,49790,197230,19560,22020,12190,170,4660,5000
2004,"New jersey","NJ","Split",103971,1911430,1668003,30258,3609691,75803511,118385022,136781274,182388486,51093,9920.4,33845.7,7326.9,7482.3,3903.9,94.5,321.3,3162.6,4437573,861630,2939517,636426,649803,339024,8232,27951,274596
2004,"New mexico","NM","Split",164274,370942,376930,8432,756304,24958032,42540102,46576827,62799198,138547.2,34551,90291.3,13701.6,22684.2,17014.8,293.7,1801.8,3577.2,2636535,657492,1718277,260766,431673,323763,5577,34287,68046
2004,"New york","NY","Split",311581,4180755,2806993,403288,7391036,458244232,783699654,905131676,1195405074,135935,22735.4,100018.4,13187.4,27304.8,15084.6,285.2,1159.4,10775.6,26209508,4383152,19284232,2542124,5264668,2908482,55118,223696,2077372
2004,"North carolina","NC","Democratic",510650,1525849,1961166,13992,3501007,350100700,606680900,650515000,854046800,416050,118490,265970,31600,44780,27620,620,2740,13800,35532800,10119300,22714700,2698800,3824400,2359100,53200,233900,1178200
2004,"North dakota","ND","NA",274699,111052,196651,5130,312833,16580149,25904227,26313387,33724324,104060.2,16991.8,79261.5,7806.90000000001,4648.1,2750.7,68.8999999999999,1473.4,360.4,662129,108120,504348,49661,29574,17490,424,9381,2279
2004,"Ohio","OH","Republican",462308,2739952,2858727,26952,5625631,495055528,739817848,758936376,1007612584,322282.4,74175.2,216858.4,31240,29805.6,12381.6,387.2,3643.2,13393.6,36901656,8493584,24830784,3577288,3413256,1417504,44528,417472,1533752
2004,"Oklahoma","OK","Split",410872,503966,959792,0,1463758,112709366,193776660,204049538,271313042,326641.7,77015.3999999999,221305.7,28312.9,38538.5,27974.1,408.100000000001,3403.4,6752.89999999999,11509344,2713788,7797867,997689,1357895,985754,14322,119889,237930
2004,"Oregon","OR","Split",194130,943163,866831,26788,1836782,66124152,91338228,98512992,129289068,166874.4,30142.8,118152,18579.6,10749.6,6616.8,90,1285.2,2757.6,5993100,1082592,4243248,667260,386064,237600,3240,46188,99036
2004,"Pennsylvania","PA","Republican",364748,2938095,2793847,33822,5765764,386306188,620131230,640141383,830429557,161959.1,29433.1,115789.4,16743.3,27570.5,15316.2,348.4,1909.5,9989.70000000001,20073937,3647681,14351333,2074923,3416866,1898713,43550,236845,1237758
2004,"Rhode island","RI","Democratic",32883,259760,169046,7483,436289,2617734,4485060,4965078,6479496,17316,3036.6,12013.8,2265.6,1485,886.8,14.4,177.6,406.2,186996,32790,129738,24468,16038,9576,156,1920,4386
2004,"South carolina","SC","Split",253299,661699,937974,18057,1617730,74415580,141061254,147141718,193103032,208697.4,47927.4,143538.4,17231.6,36335.4,28087.6,312.8,1941.2,5993.8,8760976,2011994,6025586,723396,1525360,1179164,13156,81512,251528
2004,"South dakota","SD","NA",367125,149244,232584,6387,388215,25622190,37309800,38047152,50860986,127485.6,26961,93264.6000000001,7253.39999999999,11299.2,7312.80000000001,145.2,2877.6,957,982410,207768,718740,55902,87054,56364,1122,22176,7392
2004,"Tennessee","TN","Split",536085,1032910,1381225,16359,2430494,230896930,410596555,427208255,559863310,411045.999999999,97346.4999999998,273761.5,39938.0000000001,66271.9999999999,47737.5,579.500000000001,3676.49999999999,14288,24224145,5736670,16133660,2353815,3905735,2813045,33915,216790,841985
2004,"Texas","TX","Split",1477645,2832704,4526917,51128,7410749,1882330246,3495931032,4136303386,5707773446,1142415.79999999,248793,787273,106324.4,137388.599999999,85877.4000000002,1549.4,9474.2,40487.6000000002,256718308,55909972,176912778,23895558,30874716,19300190,346456,2130552,9097518
2004,"Utah","UT","Republican",172811,241199,663742,22903,927844,26907476,44808132,48257914,70200532,117119.4,18238.1,89717.3,9161.1,6765.7,4071.6,55.1,1157.1,1481.9,2835098,441525,2171781,221792,163763,98542,1334,28043,35844
2004,"Vermont","VT","NA",83727,184067,121180,7062,312309,4372326,6579608,6720742,8697262,32810.4,7740.6,23745.4,1323,1607.2,1034.6,36.4,361.2,176.4,203826,48090,147518,8218,9982,6426,224,2240,1092
2004,"Virginia","VA","Republican",780708,1454742,1716959,26666,3198367,412589343,681665283,735193575,965091828,345487.800000001,49587.6000000001,265804.5,30095.6999999999,35539.5,19840.2,670.800000000001,3134.7,11893.8,25847472,3709911,19885866,2251695,2658432,1483887,50310,234264,889971
2004,"Washington","WA","Split",239304,1510201,1304894,43989,2859084,111504276,166059504,182669331,242074794,189021.3,38095.2,123762.6,27163.5,13400.4,7800,120.9,1794,3685.5,11732643,2364648,7681908,1686087,831870,484263,7410,111423,228774
2004,"West virginia","WV","Democratic",340065,326541,423550,5568,755659,41561245,77409750,78412895,99690140,140569,33357.5,95782.5,11429,15504.5,11902,209,1050.5,2348.5,2547930,604670,1736130,207130,281050,215710,3740,19030,42570
